Date (GMT);VOC (ppm);Temperature (C);Humidity (%);Pressure (mbar);Latitude;Longitude;PM1 (ug/m3);PM2.5 (ug/m3);PM10 (ug/m3)
2023-12-17T16:56:00.000Z;0.357;6;18;958.5;36.1488069;-115.1093396;;;
2023-12-17T16:55:00.000Z;0.351;6;18;958.6;36.1488069;-115.1093396;;;
2023-12-17T16:54:00.000Z;0.351;6;18;958.5;36.1488069;-115.1093396;;;
2023-12-17T16:53:00.000Z;0.341;6;18;958.6;36.1488069;-115.1093396;;;
2023-12-17T16:52:00.000Z;0.335;6;18;958.0;36.1488069;-115.1093396;;;
2023-12-17T16:51:00.000Z;0.331;6;18;957.3;36.1488069;-115.1093396;;;
2023-12-17T16:50:00.000Z;0.316;6;18;957.2;36.1488069;-115.1093396;;;
2023-12-17T16:49:00.000Z;0.298;6;18;956.8;36.1488069;-115.1093396;;;
2023-12-17T16:48:00.000Z;0.276;6;18;957.0;36.1488069;-115.1093396;;;
2023-12-17T16:47:00.000Z;0.299;5;19;956.9;36.1488069;-115.1093396;1.0;1.0;2.0
2023-12-17T16:46:00.000Z;0.333;5;19;956.8;36.1488069;-115.1093396;;;
2023-12-17T16:33:00.000Z;0.341;5;19;956.8;36.1488069;-115.1093396;;;
2023-12-17T16:32:00.000Z;0.339;5;19;957.1;36.1488069;-115.1093396;;;
2023-12-17T16:31:00.000Z;0.334;5;19;957.0;36.1488069;-115.1093396;;;
2023-12-17T16:30:00.000Z;0.332;6;18;957.1;36.1488069;-115.1093396;;;
2023-12-17T16:29:00.000Z;0.322;6;18;957.6;36.1488069;-115.1093396;;;
2023-12-17T16:28:00.000Z;0.309;6;18;958.5;36.1488069;-115.1093396;;;
2023-12-17T16:27:00.000Z;0.292;6;18;958.3;36.1488069;-115.1093396;;;
2023-12-17T16:26:00.000Z;0.273;6;17;958.2;36.1488069;-115.1093396;;;
2023-12-17T16:25:00.000Z;0.264;5;19;958.3;36.1488069;-115.1093396;1.0;1.0;2.0
2023-12-17T16:24:00.000Z;0.309;5;18;958.41;36.1488069;-115.1093396;1.0;1.0;2.0
2023-12-17T16:23:00.000Z;0.345;5;18;958.38;36.1488069;-115.1093396;1.0;1.0;2.0
2023-12-17T16:06:00.000Z;0.312;6;17;958.2;36.1488069;-115.1093396;;;
2023-12-17T16:05:00.000Z;0.291;6;17;958.1;36.1488069;-115.1093396;;;
2023-12-17T16:04:00.000Z;0.272;5;18;958.2;36.1488069;-115.1093396;;;
2023-12-17T16:03:00.000Z;0.266;5;18;958.2;36.1488069;-115.1093396;;;
2023-12-17T16:02:00.000Z;0.341;5;18;958.2;36.1488069;-115.1093396;1.0;1.0;2.0
2023-12-17T16:01:00.000Z;0.343;5;18;958.3;36.1488069;-115.1093396;;;
2023-12-17T16:00:00.000Z;0.337;5;18;958.3;36.1488069;-115.1093396;;;
2023-12-17T15:59:00.000Z;0.335;5;18;958.2;36.1488069;-115.1093396;;;
2023-12-17T15:58:00.000Z;0.332;5;18;958.2;36.1488069;-115.1093396;;;
2023-12-17T15:57:00.000Z;0.322;5;18;958.1;36.1488069;-115.1093396;;;
2023-12-17T15:56:00.000Z;0.32;6;17;958.1;36.1488069;-115.1093396;;;
2023-12-17T15:55:00.000Z;0.312;6;17;958.0;36.1488069;-115.1093396;;;
2023-12-17T15:54:00.000Z;0.295;6;17;958.0;36.1488069;-115.1093396;;;
2023-12-17T15:53:00.000Z;0.272;6;17;958.0;36.1488069;-115.1093396;;;
2023-12-17T15:52:00.000Z;0.266;5;18;958.0;36.1488069;-115.1093396;;;
2023-12-17T15:51:00.000Z;0.344;5;18;958.1;36.1488069;-115.1093396;1.0;1.0;2.0
2023-12-17T15:50:00.000Z;0.34;5;18;958.0;36.1488069;-115.1093396;;;
2023-12-17T15:49:00.000Z;0.341;5;18;958.0;36.1488069;-115.1093396;;;
2023-12-17T15:48:00.000Z;0.336;5;18;958.0;36.1487636;-115.1093214;;;
2023-12-17T15:47:00.000Z;0.333;5;18;958.0;36.1487305;-115.1091005;;;
2023-12-17T15:46:00.000Z;0.329;6;17;958.0;36.1487305;-115.1091005;;;
2023-12-17T15:45:00.000Z;0.322;6;17;958.0;36.1487305;-115.1091005;;;
2023-12-17T15:44:00.000Z;0.314;6;17;958.0;36.1487305;-115.1091005;;;
2023-12-17T15:43:00.000Z;0.293;6;17;958.0;36.1487305;-115.1091005;;;
2023-12-17T15:42:00.000Z;0.281;6;17;958.0;36.1487305;-115.1091005;;;
2023-12-17T15:41:00.000Z;0.261;5;18;958.0;36.1487305;-115.1091005;;;
2023-12-17T15:40:00.000Z;0.335;5;18;957.9;36.1487305;-115.1091005;1.0;2.5;5.5
2023-12-17T15:39:00.000Z;0.343;5;18;957.9;36.1487305;-115.1091005;;;
2023-12-17T15:38:00.000Z;0.344;5;18;957.9;36.1487305;-115.1091005;;;
2023-12-17T15:37:00.000Z;0.335;5;18;957.8;36.1487305;-115.1091005;;;
2023-12-17T15:36:00.000Z;0.336;5;18;957.9;36.1487305;-115.1091005;;;
2023-12-17T15:35:00.000Z;0.329;6;17;957.8;36.1487305;-115.1091005;;;
2023-12-17T15:34:00.000Z;0.319;6;17;957.9;36.1487305;-115.1091005;;;
2023-12-17T15:33:00.000Z;0.311;6;17;957.9;36.1487305;-115.1091005;;;
2023-12-17T15:32:00.000Z;0.297;6;17;957.8;36.1487305;-115.1091005;;;
2023-12-17T15:31:00.000Z;0.31;5;18;957.9;36.1487305;-115.1091005;1.0;1.0;2.0
2023-12-17T15:30:00.000Z;0.268;6;17;957.9;36.1487305;-115.1091005;1.0;1.0;2.0
2023-12-17T15:29:00.000Z;0.326;5;18;957.9;36.1487305;-115.1091005;1.0;1.0;2.0
2023-12-17T15:28:00.000Z;0.34;5;18;957.9;36.1487305;-115.1091005;;;
2023-12-17T15:27:00.000Z;0.342;5;18;957.9;36.1487305;-115.1091005;;;
2023-12-17T15:26:00.000Z;0.339;6;17;957.9;36.1487305;-115.1091005;;;
2023-12-17T15:25:00.000Z;0.338;6;17;957.8;36.1487305;-115.1091005;;;
2023-12-17T15:24:00.000Z;0.327;6;17;957.9;36.1487305;-115.1091005;;;
2023-12-17T15:23:00.000Z;0.325;6;17;957.8;36.1487305;-115.1091005;;;
2023-12-17T15:22:00.000Z;0.315;6;17;957.9;36.1487305;-115.1091005;;;
2023-12-17T15:21:00.000Z;0.303;6;17;957.9;36.1487305;-115.1091005;;;
2023-12-17T15:20:00.000Z;0.283;6;17;957.9;36.1487305;-115.1091005;;;
2023-12-17T15:19:00.000Z;0.258;5;18;957.9;36.1487305;-115.1091005;;;
2023-12-17T15:17:00.000Z;0.343;5;18;958.0;36.1486615;-115.1097371;;;
2023-12-17T15:16:00.000Z;0.346;6;17;958.0;36.1486615;-115.1097371;;;
2023-12-17T15:15:00.000Z;0.272;6;17;957.9;36.1486615;-115.1097371;;;
2023-12-17T15:08:00.000Z;0.265;6;17;957.9;36.1486615;-115.1097371;;;
2023-12-17T15:07:00.000Z;0.316;5;18;957.7;36.1485881;-115.1097851;1.0;1.0;2.0
2023-12-17T15:06:00.000Z;0.347;6;17;957.7;36.1485881;-115.1097851;;;
2023-12-17T15:05:00.000Z;0.348;6;17;957.7;36.1485881;-115.1097851;;;
2023-12-17T15:04:00.000Z;0.345;6;17;957.7;36.1485881;-115.1097851;;;
2023-12-17T15:03:00.000Z;0.342;6;17;957.6;36.1485881;-115.1097851;;;
2023-12-17T15:02:00.000Z;0.338;6;17;957.7;36.1485881;-115.1097851;;;
2023-12-17T15:01:00.000Z;0.332;6;17;957.7;36.1485881;-115.1097851;;;
2023-12-17T15:00:00.000Z;0.322;6;17;957.7;36.1485881;-115.1097851;;;
2023-12-17T14:59:00.000Z;0.311;6;17;957.7;36.1485881;-115.1097851;;;
2023-12-17T14:58:00.000Z;0.287;6;17;957.8;36.1485881;-115.1097851;;;
2023-12-17T14:57:00.000Z;0.269;6;17;957.8;36.1485881;-115.1097851;;;
2023-12-17T14:56:00.000Z;0.308;6;17;957.8;36.1485881;-115.1097851;1.0;1.0;2.0
2023-12-17T14:55:00.000Z;0.353;6;17;957.8;36.1485881;-115.1097851;;;
2023-12-17T14:54:00.000Z;0.351;6;17;957.9;36.1485881;-115.1097851;;;
2023-12-17T14:53:00.000Z;0.348;6;17;957.9;36.1485881;-115.1097851;;;
2023-12-17T14:52:00.000Z;0.343;6;17;957.9;36.1485881;-115.1097851;;;
2023-12-17T14:51:00.000Z;0.34;6;17;957.9;36.1485881;-115.1097851;;;
2023-12-17T14:50:00.000Z;0.335;6;17;957.7;36.1485881;-115.1097851;;;
2023-12-17T14:49:00.000Z;0.325;6;18;957.7;36.1485881;-115.1097851;;;
2023-12-17T14:48:00.000Z;0.313;6;18;957.7;36.1485881;-115.1097851;;;
2023-12-17T14:47:00.000Z;0.299;6;18;957.7;36.1485881;-115.1097851;;;
2023-12-17T14:46:00.000Z;0.271;6;18;957.7;36.1485881;-115.1097851;;;
2023-12-17T14:45:00.000Z;0.303;6;17;957.7;36.1485881;-115.1097851;1.0;1.8;3.8
2023-12-17T14:44:00.000Z;0.357;6;17;957.7;36.1485881;-115.1097851;;;
2023-12-17T14:43:00.000Z;0.353;6;17;957.6;36.1485881;-115.1097851;;;
2023-12-17T14:42:00.000Z;0.346;6;17;957.7;36.1485881;-115.1097851;;;
2023-12-17T14:41:00.000Z;0.346;6;17;957.7;36.1485881;-115.1097851;;;
2023-12-17T14:40:00.000Z;0.343;6;18;957.7;36.1485881;-115.1097851;;;
2023-12-17T14:39:00.000Z;0.338;6;18;957.7;36.1485881;-115.1097851;;;
2023-12-17T14:38:00.000Z;0.33;6;18;957.8;36.1485881;-115.1097851;;;
2023-12-17T14:37:00.000Z;0.312;6;18;957.9;36.1485881;-115.1097851;;;
2023-12-17T14:36:00.000Z;0.301;6;18;957.8;36.1485881;-115.1097851;;;
2023-12-17T14:35:00.000Z;0.277;6;18;957.8;36.1485881;-115.1097851;;;
2023-12-17T14:34:00.000Z;0.297;6;18;957.9;36.1485881;-115.1097851;1.0;1.0;2.0
2023-12-17T14:33:00.000Z;0.357;6;17;957.9;36.1485881;-115.1097851;;;
2023-12-17T14:32:00.000Z;0.354;6;17;957.8;36.1485881;-115.1097851;;;
2023-12-17T14:31:00.000Z;0.352;6;18;957.9;36.1485881;-115.1097851;;;
2023-12-17T14:30:00.000Z;0.351;6;18;957.9;36.1485881;-115.1097851;;;
2023-12-17T14:29:00.000Z;0.348;6;18;957.9;36.1485881;-115.1097851;;;
2023-12-17T14:28:00.000Z;0.341;6;18;958.0;36.1485881;-115.1097851;;;
2023-12-17T14:27:00.000Z;0.334;6;18;958.1;36.1485881;-115.1097851;;;
2023-12-17T14:26:00.000Z;0.32;6;18;958.0;36.1485881;-115.1097851;;;
2023-12-17T14:25:00.000Z;0.305;6;18;958.0;36.1485881;-115.1097851;;;
2023-12-17T14:24:00.000Z;0.284;6;18;958.1;36.1485881;-115.1097851;;;
2023-12-17T14:23:00.000Z;0.294;6;18;958.0;36.1485881;-115.1097851;1.0;1.0;2.0
2023-12-17T14:22:00.000Z;0.362;6;18;958.0;36.1485881;-115.1097851;;;
2023-12-17T14:21:00.000Z;0.355;6;18;957.9;36.1485881;-115.1097851;;;
2023-12-17T14:20:00.000Z;0.357;6;18;957.9;36.1485881;-115.1097851;;;
2023-12-17T14:19:00.000Z;0.355;6;18;957.9;36.1485881;-115.1097851;;;
2023-12-17T14:18:00.000Z;0.35;6;18;957.9;36.1485881;-115.1097851;;;
2023-12-17T14:17:00.000Z;0.343;6;18;957.8;36.1485881;-115.1097851;;;
2023-12-17T14:16:00.000Z;0.34;6;18;957.8;36.1485881;-115.1097851;;;
2023-12-17T14:15:00.000Z;0.325;6;18;957.8;36.1485881;-115.1097851;;;
2023-12-17T14:14:00.000Z;0.31;6;18;957.8;36.1485881;-115.1097851;;;
2023-12-17T14:13:00.000Z;0.281;6;18;957.8;36.1485881;-115.1097851;;;
2023-12-17T14:12:00.000Z;0.296;6;18;957.6;36.1485881;-115.1097851;1.0;1.0;2.0
2023-12-17T14:11:00.000Z;0.364;6;18;957.7;36.1485881;-115.1097851;;;
2023-12-17T14:10:00.000Z;0.362;6;18;957.7;36.1485881;-115.1097851;;;
2023-12-17T14:09:00.000Z;0.359;6;18;957.7;36.1485881;-115.1097851;;;
2023-12-17T14:08:00.000Z;0.356;6;18;957.7;36.1485881;-115.1097851;;;
2023-12-17T14:07:00.000Z;0.355;6;18;957.7;36.1485881;-115.1097851;;;
2023-12-17T14:06:00.000Z;0.353;6;18;957.7;36.1485881;-115.1097851;;;
2023-12-17T14:05:00.000Z;0.34;6;18;957.6;36.1485881;-115.1097851;;;
2023-12-17T14:04:00.000Z;0.334;7;17;957.6;36.1485881;-115.1097851;;;
2023-12-17T14:03:00.000Z;0.313;7;17;957.6;36.1485881;-115.1097851;;;
2023-12-17T14:02:00.000Z;0.289;6;18;957.6;36.1485881;-115.1097851;;;
2023-12-17T14:01:00.000Z;0.291;6;18;957.5;36.1485881;-115.1097851;1.0;1.5;2.5
2023-12-17T14:00:00.000Z;0.367;6;18;957.5;36.1485881;-115.1097851;1.0;1.0;2.0
2023-12-17T13:59:00.000Z;0.367;6;18;957.5;36.1485881;-115.1097851;;;
2023-12-17T13:58:00.000Z;0.364;6;18;957.5;36.1485881;-115.1097851;;;
2023-12-17T13:57:00.000Z;0.359;6;18;957.5;36.1485881;-115.1097851;;;
2023-12-17T13:56:00.000Z;0.355;6;18;957.5;36.1485881;-115.1097851;;;
2023-12-17T13:55:00.000Z;0.355;7;17;957.4;36.1485881;-115.1097851;;;
2023-12-17T13:54:00.000Z;0.344;7;17;957.5;36.1485881;-115.1097851;;;
2023-12-17T13:53:00.000Z;0.334;7;17;957.4;36.1485881;-115.1097851;;;
2023-12-17T13:52:00.000Z;0.317;7;17;957.4;36.1485881;-115.1097851;;;
2023-12-17T13:51:00.000Z;0.298;7;17;957.4;36.1485881;-115.1097851;;;
2023-12-17T13:50:00.000Z;0.287;6;18;957.4;36.1485881;-115.1097851;;;
2023-12-17T13:49:00.000Z;0.37;6;18;957.4;36.1485881;-115.1097851;1.0;1.0;2.0
2023-12-17T13:48:00.000Z;0.373;6;18;957.5;36.1485881;-115.1097851;;;
2023-12-17T13:47:00.000Z;0.368;7;17;957.5;36.1485881;-115.1097851;;;
2023-12-17T13:46:00.000Z;0.36;7;17;957.4;36.1485881;-115.1097851;;;
2023-12-17T13:45:00.000Z;0.361;7;17;957.5;36.1485881;-115.1097851;;;
2023-12-17T13:44:00.000Z;0.358;7;17;957.5;36.1485881;-115.1097851;;;
2023-12-17T13:43:00.000Z;0.35;7;17;957.5;36.1485881;-115.1097851;;;
2023-12-17T13:42:00.000Z;0.34;7;17;957.4;36.1485881;-115.1097851;;;
2023-12-17T13:41:00.000Z;0.326;7;17;957.4;36.1485881;-115.1097851;;;
2023-12-17T13:40:00.000Z;0.303;7;17;957.5;36.1485881;-115.1097851;;;
2023-12-17T13:39:00.000Z;0.288;6;18;957.4;36.1485881;-115.1097851;;;
2023-12-17T13:38:00.000Z;0.371;7;17;957.4;36.1485881;-115.1097851;1.0;1.0;2.0
2023-12-17T13:37:00.000Z;0.372;7;17;957.3;36.1485881;-115.1097851;;;
2023-12-17T13:36:00.000Z;0.369;7;17;957.4;36.1485881;-115.1097851;;;
2023-12-17T13:35:00.000Z;0.364;7;17;957.3;36.1485881;-115.1097851;;;
2023-12-17T13:34:00.000Z;0.365;7;17;957.3;36.1485881;-115.1097851;;;
2023-12-17T13:33:00.000Z;0.36;7;17;957.4;36.1485881;-115.1097851;;;
2023-12-17T13:32:00.000Z;0.353;7;17;957.3;36.1485881;-115.1097851;;;
2023-12-17T13:31:00.000Z;0.345;7;17;957.4;36.1485881;-115.1097851;;;
2023-12-17T13:30:00.000Z;0.329;7;17;957.4;36.1485881;-115.1097851;;;
2023-12-17T13:29:00.000Z;0.305;7;17;957.4;36.1485881;-115.1097851;;;
2023-12-17T13:28:00.000Z;0.287;7;17;957.3;36.1485881;-115.1097851;;;
2023-12-17T13:27:00.000Z;0.361;7;17;957.3;36.1485881;-115.1097851;1.0;1.0;2.0
2023-12-17T13:26:00.000Z;0.408;7;17;957.3;36.1485881;-115.1097851;;;
2023-12-17T13:25:00.000Z;0.382;7;17;957.2;36.1485881;-115.1097851;;;
2023-12-17T13:24:00.000Z;0.37;7;17;957.2;36.1485881;-115.1097851;;;
2023-12-17T13:23:00.000Z;0.369;7;17;957.2;36.1485881;-115.1097851;;;
2023-12-17T13:22:00.000Z;0.363;7;17;957.2;36.1485881;-115.1097851;;;
2023-12-17T13:21:00.000Z;0.359;7;17;957.1;36.1485881;-115.1097851;;;
2023-12-17T13:20:00.000Z;0.352;7;17;957.2;36.1485881;-115.1097851;;;
2023-12-17T13:19:00.000Z;0.332;7;17;957.2;36.1485881;-115.1097851;;;
2023-12-17T13:18:00.000Z;0.315;7;17;957.3;36.1485881;-115.1097851;;;
2023-12-17T13:17:00.000Z;0.295;7;17;957.3;36.1485881;-115.1097851;;;
2023-12-17T13:16:00.000Z;0.349;7;17;957.3;36.1485881;-115.1097851;1.0;1.0;2.0
2023-12-17T13:15:00.000Z;0.397;7;17;957.3;36.1485881;-115.1097851;;;
2023-12-17T13:14:00.000Z;0.411;7;17;957.3;36.1485881;-115.1097851;;;
2023-12-17T13:13:00.000Z;0.388;7;17;957.3;36.1485881;-115.1097851;;;
2023-12-17T13:12:00.000Z;0.371;7;17;957.4;36.1485881;-115.1097851;;;
2023-12-17T13:11:00.000Z;0.37;7;17;957.3;36.1485881;-115.1097851;;;
2023-12-17T13:10:00.000Z;0.36;7;18;957.3;36.1485881;-115.1097851;;;
2023-12-17T13:09:00.000Z;0.353;7;18;957.4;36.1485881;-115.1097851;;;
2023-12-17T13:08:00.000Z;0.34;7;18;957.4;36.1485881;-115.1097851;;;
2023-12-17T13:07:00.000Z;0.319;7;18;957.5;36.1485881;-115.1097851;;;
2023-12-17T13:06:00.000Z;0.299;7;18;957.4;36.1485881;-115.1097851;;;
2023-12-17T13:05:00.000Z;0.347;7;17;957.5;36.1485881;-115.1097851;1.0;1.0;2.0
2023-12-17T13:04:00.000Z;0.421;7;17;957.4;36.1485881;-115.1097851;;;
2023-12-17T13:03:00.000Z;0.421;7;18;957.5;36.1485881;-115.1097851;;;
2023-12-17T13:02:00.000Z;0.409;7;18;957.4;36.1485881;-115.1097851;;;
2023-12-17T13:01:00.000Z;0.378;7;18;957.5;36.1485881;-115.1097851;;;
2023-12-17T13:00:00.000Z;0.372;7;18;957.4;36.1485881;-115.1097851;;;
2023-12-17T12:59:00.000Z;0.367;7;18;957.4;36.1485881;-115.1097851;;;
2023-12-17T12:58:00.000Z;0.359;7;18;957.3;36.1485881;-115.1097851;;;
2023-12-17T12:57:00.000Z;0.347;7;18;957.3;36.1485881;-115.1097851;;;
2023-12-17T12:56:00.000Z;0.327;7;18;957.3;36.1485881;-115.1097851;;;
2023-12-17T12:55:00.000Z;0.3;7;18;957.3;36.1485881;-115.1097851;;;
2023-12-17T12:54:00.000Z;0.343;7;18;957.3;36.1485881;-115.1097851;1.0;1.4;2.6
2023-12-17T12:53:00.000Z;0.447;7;18;957.3;36.1485881;-115.1097851;;;
2023-12-17T12:52:00.000Z;0.436;7;18;957.3;36.1485881;-115.1097851;;;
2023-12-17T12:51:00.000Z;0.434;7;18;957.3;36.1485881;-115.1097851;;;
2023-12-17T12:50:00.000Z;0.419;7;18;957.2;36.1485881;-115.1097851;;;
2023-12-17T12:49:00.000Z;0.399;7;18;957.2;36.1485881;-115.1097851;;;
2023-12-17T12:48:00.000Z;0.372;8;17;957.1;36.1485881;-115.1097851;;;
2023-12-17T12:47:00.000Z;0.363;8;17;957.1;36.1485881;-115.1097851;;;
2023-12-17T12:46:00.000Z;0.353;8;17;957.1;36.1485881;-115.1097851;;;
2023-12-17T12:45:00.000Z;0.334;8;17;957.2;36.1485881;-115.1097851;;;
2023-12-17T12:44:00.000Z;0.31;7;18;957.2;36.1485881;-115.1097851;;;
2023-12-17T12:43:00.000Z;0.344;7;18;957.2;36.1485881;-115.1097851;1.0;1.7;2.7
2023-12-17T12:42:00.000Z;0.474;7;18;957.3;36.1485881;-115.1097851;;;
2023-12-17T12:41:00.000Z;0.491;7;18;957.2;36.1485881;-115.1097851;;;
2023-12-17T12:40:00.000Z;0.45;8;17;957.1;36.1485881;-115.1097851;;;
2023-12-17T12:39:00.000Z;0.451;8;17;957.1;36.1485881;-115.1097851;;;
2023-12-17T12:38:00.000Z;0.427;8;17;957.1;36.1485881;-115.1097851;;;
2023-12-17T12:37:00.000Z;0.393;8;17;957.1;36.1485881;-115.1097851;;;
2023-12-17T12:36:00.000Z;0.37;8;17;957.1;36.1485881;-115.1097851;;;
2023-12-17T12:35:00.000Z;0.36;8;17;957.1;36.1485881;-115.1097851;;;
2023-12-17T12:34:00.000Z;0.336;8;17;957.1;36.1485881;-115.1097851;;;
2023-12-17T12:33:00.000Z;0.313;8;17;957.2;36.1485881;-115.1097851;;;
2023-12-17T12:32:00.000Z;0.339;7;18;957.2;36.1485881;-115.1097851;1.0;2.2;3.7
2023-12-17T12:31:00.000Z;0.513;8;17;957.2;36.1485881;-115.1097851;;;
2023-12-17T12:30:00.000Z;0.503;8;17;957.2;36.1485881;-115.1097851;;;
2023-12-17T12:29:00.000Z;0.512;8;17;957.2;36.1485881;-115.1097851;;;
2023-12-17T12:28:00.000Z;0.477;8;17;957.2;36.1485881;-115.1097851;;;
2023-12-17T12:27:00.000Z;0.466;8;17;957.2;36.1485881;-115.1097851;;;
2023-12-17T12:26:00.000Z;0.434;8;17;957.2;36.1485881;-115.1097851;;;
2023-12-17T12:25:00.000Z;0.382;8;17;957.2;36.1485881;-115.1097851;;;
2023-12-17T12:24:00.000Z;0.358;8;17;957.2;36.1485881;-115.1097851;;;
2023-12-17T12:23:00.000Z;0.343;8;17;957.3;36.1485881;-115.1097851;;;
2023-12-17T12:22:00.000Z;0.32;8;17;957.2;36.1485881;-115.1097851;;;
2023-12-17T12:21:00.000Z;0.336;8;17;957.2;36.1485881;-115.1097851;1.0;1.5;2.6
2023-12-17T12:20:00.000Z;0.53;8;17;957.2;36.1485881;-115.1097851;;;
2023-12-17T12:19:00.000Z;0.538;8;17;957.2;36.1485881;-115.1097851;;;
2023-12-17T12:18:00.000Z;0.525;8;17;957.2;36.1485881;-115.1097851;;;
2023-12-17T12:17:00.000Z;0.523;8;17;957.1;36.1485881;-115.1097851;;;
2023-12-17T12:16:00.000Z;0.482;8;17;957.1;36.1485881;-115.1097851;;;
2023-12-17T12:15:00.000Z;0.453;8;17;957.0;36.1485881;-115.1097851;;;
2023-12-17T12:14:00.000Z;0.399;8;17;957.0;36.1485881;-115.1097851;;;
2023-12-17T12:13:00.000Z;0.369;8;17;957.0;36.1485881;-115.1097851;;;
2023-12-17T12:12:00.000Z;0.353;8;18;957.0;36.1485881;-115.1097851;;;
2023-12-17T12:11:00.000Z;0.326;8;18;957.0;36.1485881;-115.1097851;;;
2023-12-17T12:10:00.000Z;0.337;8;17;957.0;36.1485881;-115.1097851;1.0;3.7;6.5
2023-12-17T12:09:00.000Z;0.578;8;17;957.1;36.1485881;-115.1097851;;;
2023-12-17T12:08:00.000Z;0.55;8;17;957.0;36.1485881;-115.1097851;;;
2023-12-17T12:07:00.000Z;0.546;8;17;957.1;36.1485881;-115.1097851;;;
2023-12-17T12:06:00.000Z;0.541;8;18;957.1;36.1485881;-115.1097851;;;
2023-12-17T12:05:00.000Z;0.529;8;18;957.1;36.1485881;-115.1097851;;;
2023-12-17T12:04:00.000Z;0.498;8;18;957.2;36.1485881;-115.1097851;;;
2023-12-17T12:03:00.000Z;0.441;8;18;957.2;36.1485881;-115.1097851;;;
2023-12-17T12:02:00.000Z;0.384;8;18;957.1;36.1485881;-115.1097851;;;
2023-12-17T12:01:00.000Z;0.362;8;18;957.2;36.1485881;-115.1097851;;;
2023-12-17T12:00:00.000Z;0.333;8;18;957.2;36.1485881;-115.1097851;;;
2023-12-17T11:59:00.000Z;0.336;8;18;957.1;36.1485881;-115.1097851;1.0;1.4;2.8
2023-12-17T11:58:00.000Z;0.593;8;18;957.2;36.1485881;-115.1097851;;;
2023-12-17T11:57:00.000Z;0.601;8;18;957.1;36.1485881;-115.1097851;;;
2023-12-17T11:56:00.000Z;0.572;8;18;957.3;36.1485881;-115.1097851;;;
2023-12-17T11:55:00.000Z;0.565;8;18;957.2;36.1485881;-115.1097851;;;
2023-12-17T11:54:00.000Z;0.531;8;18;957.2;36.1485881;-115.1097851;;;
2023-12-17T11:53:00.000Z;0.521;9;17;957.2;36.1485881;-115.1097851;;;
2023-12-17T11:52:00.000Z;0.462;9;17;957.1;36.1485881;-115.1097851;;;
2023-12-17T11:51:00.000Z;0.429;9;17;957.2;36.1485881;-115.1097851;;;
2023-12-17T11:50:00.000Z;0.366;9;17;957.2;36.1485881;-115.1097851;;;
2023-12-17T11:49:00.000Z;0.341;9;17;957.1;36.1485881;-115.1097851;;;
2023-12-17T11:48:00.000Z;0.333;8;18;957.1;36.1485881;-115.1097851;;;
2023-12-17T11:47:00.000Z;0.64;8;18;957.1;36.1485881;-115.1097851;;;
2023-12-17T11:46:00.000Z;0.604;8;18;957.0;36.1485881;-115.1097851;;;
2023-12-17T11:45:00.000Z;0.608;9;17;957.1;36.1485881;-115.1097851;;;
2023-12-17T11:44:00.000Z;0.582;9;17;957.1;36.1485881;-115.1097851;;;
2023-12-17T11:43:00.000Z;0.546;9;17;957.1;36.1485881;-115.1097851;;;
2023-12-17T11:42:00.000Z;0.531;9;17;957.1;36.1485881;-115.1097851;;;
2023-12-17T11:41:00.000Z;0.484;9;17;957.1;36.1485881;-115.1097851;;;
2023-12-17T11:40:00.000Z;0.462;9;17;957.1;36.1485881;-115.1097851;;;
2023-12-17T11:39:00.000Z;0.382;9;17;957.1;36.1485881;-115.1097851;;;
2023-12-17T11:38:00.000Z;0.346;9;17;957.1;36.1485881;-115.1097851;;;
2023-12-17T11:37:00.000Z;0.334;8;18;957.1;36.1485881;-115.1097851;;;
2023-12-17T11:36:00.000Z;0.667;9;17;957.1;36.1485881;-115.1097851;1.0;1.6;2.3
2023-12-17T11:35:00.000Z;0.643;9;17;957.1;36.1485881;-115.1097851;;;
2023-12-17T11:34:00.000Z;0.65;9;17;957.0;36.1485881;-115.1097851;;;
2023-12-17T11:33:00.000Z;0.625;9;17;957.0;36.1485881;-115.1097851;;;
2023-12-17T11:32:00.000Z;0.609;9;17;956.9;36.1485881;-115.1097851;;;
2023-12-17T11:31:00.000Z;0.585;9;17;957.0;36.1485881;-115.1097851;;;
2023-12-17T11:30:00.000Z;0.547;9;17;957.0;36.1485881;-115.1097851;;;
2023-12-17T11:29:00.000Z;0.479;9;17;956.9;36.1485881;-115.1097851;;;
2023-12-17T11:28:00.000Z;0.41;9;17;957.0;36.1485881;-115.1097851;;;
2023-12-17T11:27:00.000Z;0.355;9;17;957.0;36.1485881;-115.1097851;;;
2023-12-17T11:26:00.000Z;0.34;9;17;957.0;36.1485881;-115.1097851;;;
2023-12-17T11:25:00.000Z;0.703;9;17;957.0;36.1485881;-115.1097851;1.0;1.0;2.0
2023-12-17T11:24:00.000Z;0.698;9;17;957.0;36.1485881;-115.1097851;;;
2023-12-17T11:23:00.000Z;0.679;9;17;956.9;36.1485881;-115.1097851;;;
2023-12-17T11:22:00.000Z;0.641;9;17;957.0;36.1485881;-115.1097851;;;
2023-12-17T11:21:00.000Z;0.649;9;17;957.0;36.1485881;-115.1097851;;;
2023-12-17T11:20:00.000Z;0.617;9;17;957.0;36.1485881;-115.1097851;;;
2023-12-17T11:19:00.000Z;0.571;9;18;957.0;36.1485881;-115.1097851;;;
