Date (GMT);VOC (ppm);Temperature (C);Humidity (%);Pressure (mbar);Latitude;Longitude;PM1 (ug/m3);PM2.5 (ug/m3);PM10 (ug/m3)
2023-11-28T04:43:00.000Z;2.496;6;75;961.3;36.1699604;-115.0953613;;;
2023-11-28T04:42:00.000Z;2.394;5;80;961.3;36.1699604;-115.0953613;;;
2023-11-28T04:41:00.000Z;2.444;5;80;961.3;36.1699604;-115.0953613;9.0;11.0;13.0
2023-11-28T04:40:00.000Z;2.765;5;77;961.2;36.1699604;-115.0953613;;;
2023-11-28T04:39:00.000Z;2.811;5;77;961.2;36.1699367;-115.0956177;;;
2023-11-28T04:38:00.000Z;2.765;6;73;961.3;36.1699367;-115.0956177;;;
2023-11-28T04:37:00.000Z;2.738;6;73;961.3;36.1699367;-115.0956177;;;
2023-11-28T04:36:00.000Z;2.575;6;74;961.3;36.1699367;-115.0956177;;;
2023-11-28T04:35:00.000Z;2.621;6;74;961.3;36.1699367;-115.0956177;;;
2023-11-28T04:34:00.000Z;2.647;6;74;961.3;36.1699367;-115.0956177;;;
2023-11-28T04:33:00.000Z;2.509;6;75;961.2;36.1699367;-115.0956177;;;
2023-11-28T04:32:00.000Z;2.404;6;75;961.3;36.1699367;-115.0956177;;;
2023-11-28T04:31:00.000Z;2.384;6;75;961.3;36.1698471;-115.0956455;;;
2023-11-28T04:30:00.000Z;2.399;5;80;961.3;36.170024;-115.0956553;8.0;9.0;11.0
2023-11-28T04:29:00.000Z;2.738;6;72;961.3;36.1700372;-115.0954468;1.0;9.0;19.0
2023-11-28T04:28:00.000Z;2.712;6;72;961.3;36.1700396;-115.0954326;;;
2023-11-28T04:27:00.000Z;2.725;6;73;961.3;36.1699889;-115.0955798;;;
2023-11-28T04:26:00.000Z;2.699;6;73;961.3;36.1701043;-115.0953686;;;
2023-11-28T04:25:00.000Z;1.538;11;43;960.6;36.1700613;-115.0954746;;;
2023-11-28T04:24:00.000Z;2.568;6;73;961.36;36.1700613;-115.0954746;1.0;9.0;19.0
2023-11-28T04:23:00.000Z;2.483;6;73;961.41;36.1700613;-115.0954746;1.0;9.0;19.0
